,alpha,alpha_err,beta,beta_err,step,step_err,sigma,alpha_true,beta_true,gamma_true,sigmaint
371,0.077538826,0.0077269543,3.3339503,0.029761372,-0.044511367,0.016033875,0.17645837,-0.1,3.5,0.0,0.17
372,0.09024559,0.005130812,3.30344,0.02007309,0.0725887,0.010621177,0.07363719,-0.1,3.5,0.1,0.07
373,0.08953926,0.0059792832,3.3584237,0.023924617,0.06661845,0.01304639,0.122572295,-0.1,3.5,0.1,0.12
374,0.083061874,0.0073043285,3.3833766,0.028710261,0.075814895,0.015588409,0.16591062,-0.1,3.5,0.1,0.17
375,0.08496363,0.0048548905,3.333361,0.01937534,0.1732928,0.010393527,0.060910054,-0.1,3.5,0.2,0.07
376,0.09142164,0.0063343863,3.3374605,0.02591355,0.18647192,0.01311397,0.124986656,-0.1,3.5,0.2,0.12
377,0.08016295,0.0075604063,3.371525,0.03090398,0.15557495,0.015849253,0.17191023,-0.1,3.5,0.2,0.17
378,0.17784299,0.0059684333,4.282608,0.024459066,-0.035489466,0.01278315,0.06919506,-0.2,4.5,0.0,0.07
379,0.17618677,0.0071595055,4.2703733,0.029107705,-0.04691058,0.014908395,0.12531988,-0.2,4.5,0.0,0.12
380,0.17797196,0.008642143,4.2609196,0.033454895,-0.04706235,0.018015957,0.17609581,-0.2,4.5,0.0,0.17
381,0.16801815,0.0063433745,4.311059,0.024557568,0.038031064,0.012956888,0.075156316,-0.2,4.5,0.1,0.07
382,0.17436822,0.006840619,4.272264,0.028485626,0.04489614,0.014432179,0.11837252,-0.2,4.5,0.1,0.12
383,0.18586046,0.008131303,4.2556763,0.032592177,0.070030086,0.017145865,0.16842972,-0.2,4.5,0.1,0.17
384,0.16713929,0.006388321,4.293718,0.0251506,0.14933157,0.013286202,0.07467404,-0.2,4.5,0.2,0.07
385,0.17231685,0.0071829245,4.293314,0.029058106,0.14472097,0.015264334,0.12304395,-0.2,4.5,0.2,0.12
